accuracy,age
141.2019614,47
102.6892268,42
9.942940783,42
12.20747161,38
104.3496924,51
20.71736506,62
10.8252261,35
134.1512805,59
18.28185585,45
20.02156945,46
414.7374464,56
83.62853818,45
24.39457271,38
18.21555337,45
26.43381779,40
11.29533202,39
8.104588479,49
137.5596362,37
22.10757706,63
21.80921652,39
69.96012011,48
13.60583789,29
16.23150948,40
18.32388682,23
105.6359979,37
28.30069207,53
9.270875602,30
305.0009666,50
119.9878341,34
397.8946337,72
67.11299994,46
46.8617853,37
21.90027583,19
359.6336939,59
30.91389172,16
30.37826171,45
28.5782718,58
16.05713793,31
12.85642417,37
14.54168917,38
85.59257081,43
12.20415703,48
13.62384641,39
347.0819668,55
16.67506265,29
21.19461291,36
135.4905975,54
12.11146633,21
121.6723593,44
9.632769533,31
17.03902369,46
133.9334303,57
26.51058929,36
17.98257249,26
22.27269691,35
16.46400764,33
196.7907189,59
226.9942053,61
14.28964444,49
17.86282503,43
21.2046387,10
8.601749132,41
13.70356043,42
10.74835663,35
48.37762451,29
24.54685149,46
25.3798975,43
17.72408098,30
306.096805,58
31.16069818,37
16.57266728,29
186.2674605,65
25.801809,58
53.11931141,40
4.265299008,48
400.9306517,79
15.85800518,30
286.152257,57
233.48177,45
170.8718304,30
124.4775302,73
8.02473721,44
35.607784,58
12.84368598,35
401.0976624,73
17.19957306,37
38.64835597,45
11.13223395,45
141.5198893,53
296.4480202,68
237.2645129,62
282.2248536,68
254.326101,53
11.80776667,48
264.6508988,77
65.62214439,57
45.99246782,31
46.72536946,27
15.1707273,53
304.5893253,62
10.8482591,40
33.1995713,45
15.36236264,52
435.3314903,59
14.29181973,51
20.16785478,41
96.79614816,52
42.12805692,32
23.18937362,68
31.64051832,49
49.72969683,62
117.2684619,34
11.49648797,22
27.98075439,33
63.36635307,58
14.10088514,24
51.70257882,43
28.02443421,38
467.5741681,77
53.19435704,45
323.9655594,55
55.17115498,20
21.38299761,49
14.37678302,17
17.23365233,18
8.036135949,25
16.79282973,35
167.0864545,54
23.05147763,58
36.86134879,31
138.218314,41
10.05275789,49
25.62719868,18
87.23572497,45
20.40463903,46
20.06772793,23
167.6523482,47
32.25095999,34
215.6518801,62
10.30463556,18
36.04232763,35
76.42485674,34
23.25715383,12
53.94589905,30
158.521215,42
211.8676394,69
27.06323809,42
234.0314065,65
42.25632544,36
357.1912999,68
43.50628434,38
199.4209268,44
71.21878831,38
176.2298671,59
12.69484677,31
10.9439364,41
200.125804,80
48.77428525,60
18.30825597,34
11.85428492,35
17.68772059,37
180.168866,51
200.3624722,51
30.42678067,45
57.91364157,52
28.2115986,40
87.23762976,64
17.1247631,51
347.2185124,57
19.82627299,46
14.34259108,30
28.39112054,34
315.8740391,53
10.50751457,57
16.6384035,63
10.11344895,55
166.6250031,44
9.414131053,24
9.420214371,24
149.4862393,64
232.4348847,49
30.21751968,32
371.6664089,69
18.34323967,23
18.35708157,46
18.81359553,30
66.36568525,42
10.84352076,45
8.150416445,43
306.2635628,56
136.200889,56
10.03486061,33
34.56394738,33
9.469080625,54
76.67147528,66
190.0766486,58
26.99080206,36
6.405821607,23
76.2256954,44
31.20461693,51
27.86187715,45
9.944391002,46
14.83101586,51
23.85869107,57
10.68995764,47
9.220898941,42
10.1704189,50
13.11066245,55
10.88600471,52
477.6657037,85
204.6416745,58
122.7686631,36
158.3081774,48
430.8358583,83
30.15886198,37
48.83054989,23
383.327617,79
276.9098466,57
13.16869841,37
24.69004845,45
15.39174075,33
213.568921,48
15.49909798,39
99.89057131,49
9.49003768,57
24.71746658,37
13.53943778,16
18.6319757,48
200.2080268,48
68.64171751,57
245.756982,69
5.198749138,42
24.69679105,40
182.3900746,37
16.20565359,43
44.84654055,43
12.98287329,39
217.6281748,52
26.07574368,38
15.53696603,24
136.2461717,43
31.86376428,39
29.25915272,46
15.56756847,25
7.547981,44
30.6732534,31
14.51802505,63
48.7663847,57
375.7244033,69
29.83938514,35
157.3631526,65
287.4006391,84
13.15557355,32
177.9125065,44
162.3539439,50
160.0088395,58
30.68361619,57
288.6159859,45
15.95109929,27
9.919329751,33
56.61258072,64
291.8503029,78
67.70308324,61
19.6081801,41
11.23058843,46
206.0344636,48
38.23031751,47
46.50865586,56
10.74676546,30
19.84373032,19
294.5827201,52
219.1950308,50
80.02076521,48
44.80183821,58
45.94125535,58
55.77434068,36
187.366458,56
296.5643194,47
10.62547714,51
29.62924853,48
142.3170516,54
17.99753217,36
41.86945704,18
8.530048628,23
